,PA,cover,suitability9,suitability12,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords$lat,coords$lon
355,0,0,249,417,-1.599612951,0.985154092,14,4,1,0.16704616,11.56200027,1.440999985,0.085000001,44.72590158,-62.93235825
360,0,0,267,458,-1.577726841,0.536633849,15,1,1,0.215488166,12.41899967,1.58099997,0.068999998,44.72303577,-62.89302785
366,0,0,85,132,-3.878993988,2.020292282,13,5,3,0.259214997,10.69699955,1.215000033,0.075999998,44.7199015,-62.91247847
368,0,0,612,633,-0.899999976,0.162694782,9,0,1,0.001541509,18.7140007,5.06799984,0.170000002,44.71924886,-63.11311268
369,0,0,625,622,0,0.582878411,10,2,3,0.002782667,18.06699944,6.830999851,1.485000014,44.71926646,-63.09366808
370,0,0,628,698,-1,0.164508134,9,0,1,0.002222099,18.32099915,6.221000195,0.298999995,44.7186234,-63.10825036
371,0,0,NA,NA,0,NA,9,0,0,0.000956551,19.69099998,3.654000044,0.151999995,44.71829165,-63.12460064
372,0,0,589,618,-0.100000001,0.089427277,9,0,1,0.001568065,19.96500015,3.640000105,0.151999995,44.71765708,-63.12857648
373,0,0,619,593,-0.239525497,1.842050433,19,1,1,0.044345096,14.63199997,2.937999964,0.046,44.71726425,-62.81482071
374,0,0,535,625,0,0,10,0,0,0.000511924,18.56900024,3.938999891,0.086999997,44.71703466,-63.12150459
375,0,0,61,88,-5.228292465,1.508031845,14,12,3,0.408140749,9.592000008,1.069000006,0.085000001,44.71624933,-62.7759367
377,0,0,NA,NA,0,NA,9,0,1,NA,19.96500015,3.640000105,0.151999995,44.71607865,-63.13122438
378,0,0,700,753,-0.5,0.354315132,11,2,1,0.032286711,16.97400093,6.760000229,0.51700002,44.7151763,-63.08614931
379,0,0,753,733,-0.169873714,0.277271569,19,1,1,0.055017252,14.63199997,2.937999964,0.046,44.71474288,-62.81438686
382,0,0,468,606,-0.899999976,0.219597027,10,0,1,0.000580946,18.19799995,4.131999969,0.196999997,44.71357824,-63.11221788
392,0,0,480,545,0,0.622909606,21,1,2,0.000465211,13.09200001,1.565000057,0.207000002,44.71005911,-62.84268046
393,0,0,144,248,-1.845993996,1.540143967,16,5,1,0.231561869,11.43400002,1.337000012,0.082999997,44.70984887,-62.97170177
394,0,0,474,571,-1.734117508,0.089685835,14,3,1,0.126883253,12.61800003,3.463000059,0.356000006,44.7095371,-63.00660803
398,0,0,NA,NA,-2.361754894,4.007771969,20,10,3,NA,10.0880003,1.210000038,0.092,44.70885326,-62.88907737
414,0,0,610,525,-3.300977945,0.213734552,18,0,1,0.075345054,12.62899971,1.480000019,0.209999993,44.70439004,-62.84446305
421,0,0,68,102,-5.884985447,2.359621048,14,7,3,0.229082927,9.975999832,1.110999942,0.104000002,44.70179522,-62.7971984
425,0,0,550,613,-1.605963349,0.399864167,9,0,0,0.084380537,15.63000011,6.578999996,0.25999999,44.7002659,-63.17492477
433,0,0,167,154,-3.460343599,3.359582901,19,7,3,0.190340117,10.38799953,1.190999985,0.135000005,44.69897633,-62.80692717
441,0,0,714,754,-0.410529256,0.666885674,23,2,1,0.029374421,13.17000008,1.409000039,0.213,44.6955653,-62.8427197
451,0,0,272,252,-2.974740744,1.72290647,23,13,3,0.127995461,10.07800007,1.139000058,0.125,44.69309952,-62.88954917
452,0,0,119,146,-4.184948921,2.106273413,20,6,3,0.18746148,10.76599979,1.332000017,0.101999998,44.69275034,-62.85862931
454,0,0,659,666,-0.01,0.011954269,14,1,1,0.00263738,13.24400043,5.117000103,0.245000005,44.69153035,-63.10378275
455,0,0,642,679,0,0.004081539,14,1,1,0.002487531,12.87199974,4.650000095,0.333000004,44.69090563,-63.09759773
457,0,0,411,177,-5.082799911,3.989276171,21,10,0,0.043190945,10.00500011,0.815999985,0.064999998,44.68999846,-62.97126974
459,0,0,303,406,-1.432213664,1.441141367,10,2,2,0.150493592,13.15400028,3.90899992,0.208000004,44.68798566,-63.16958758
462,0,0,NA,NA,-4.500623226,1.954018354,23,16,2,NA,9.550000191,1.052000046,0.128000006,44.68584867,-62.88558793
463,0,0,NA,NA,-4.5625,3.721085548,25,13,0,NA,10.09399986,1.550999999,0.100000001,44.6858043,-62.84760448
464,0,0,53,74,-6.024008274,2.308823586,18,15,3,0.520622492,8.899999619,0.861000001,0.094999999,44.67576508,-62.88472458
467,0,0,649,574,-2.5,0,5,0,1,0.002943974,16.64900017,2.960999966,0.045000002,44.67019678,-63.45345262
473,0,0,629,572,-2.5,0,6,0,1,0.002875513,15.82400036,1.590999961,0.079999998,44.66548982,-63.44855926
474,0,0,646,577,-2.5,0,6,0,1,0.00364703,13.48400021,0.663999975,0.037999999,44.66521417,-63.43840235
475,0,0,581,574,-2.5,0,7,0,1,0.003877047,13.67300034,0.713,0.041000001,44.66428412,-63.43442179
476,0,0,535,538,-2.5,0.07272277,6,0,1,0.002682997,15.48799992,1.157999992,0.046999998,44.66361145,-63.44545428
