,X,PA,cover,suitability9,suitability12,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords.lat,coords.lon,biomass,cover.prop,cover.prop.br
141,466,1,62.5,666,579,-2.5,0,5,0,1,0.003557925,16.01300049,2.173000097,0.074000001,44.67116292,-63.44816146,140.6848368,0.625,0.625
142,536,1,62.5,578,493,-0.870522618,3.970965147,15,15,2,0.005504053,10.69699955,0.690999985,0.024,44.40683835,-64.27735293,140.6848368,0.625,0.625
143,641,1,62.5,646,673,-0.255539656,0.509290397,18,2,1,0.00192023,16.90800095,3.40899992,0.074000001,44.14945537,-64.52912389,140.6848368,0.625,0.625
144,673,1,62.66666794,745,740,-0.962499976,0.022499289,5,0,1,0.003205071,22.32099915,3.242000103,0.122000001,43.87509013,-64.90021486,141.2905561,0.626666679,0.626666679
145,401,1,63,661,673,-0.855134606,0.387341261,20,2,2,0.190014422,13.85200024,1.842000008,0.115000002,44.70846001,-62.82633666,142.506662,0.63,0.63
146,542,1,64,417,463,-2.133495808,1.907739043,15,3,2,0.040260267,12.49600029,0.828000009,0.192000002,44.39989296,-64.22094447,146.192443,0.64,0.64
147,601,1,66,584,611,-1.825000048,0.199847713,10,1,1,0.002255087,17.3560009,3.296999931,0.096000001,44.23863675,-64.40607661,153.732527,0.66,0.66
148,609,1,67,685,644,-2.072538853,0.05687486,20,1,1,0.014531987,13.37300014,2.426000118,0.166999996,44.22004006,-64.3543681,157.58683,0.67,0.67
149,722,1,67.5,724,743,-1,0.591813385,15,2,1,0.026451964,16.82900047,4.198999882,0.337000012,43.81633494,-64.92750833,159.5350468,0.675,0.675
150,680,1,68.5,707,742,-1.112499952,0.336959541,1,0,1,0.02641326,22.66799927,3.467999935,0.079000004,43.86803113,-64.96358452,163.4736108,0.685,0.685
151,181,1,70,707,695,-0.400000006,0,9,1,1,0.002367113,20.3239994,5.979000092,0.180999994,45.073406,-61.92260683,169.486783,0.7,0.7
152,367,1,70,658,495,0,2.649141312,8,1,1,0.008118755,21.30400085,3.007999897,0.148000002,44.71917751,-63.17056251,169.486783,0.7,0.7
153,376,1,70,787,750,-0.25,0.050792117,8,1,1,0.045476578,20.3390007,3.244999886,0.187000006,44.71602337,-63.17276274,169.486783,0.7,0.7
154,450,1,70,660,559,-0.300000012,1.718021512,14,0,1,0.003522478,13.31200027,5.309000015,0.180999994,44.69373673,-63.10290324,169.486783,0.7,0.7
155,453,1,70,555,536,-1.454066515,0.810454071,10,1,0,0.132245898,14.4659996,4.710000038,0.179000005,44.69240137,-63.16650843,169.486783,0.7,0.7
156,442,1,70.83333588,780,776,-0.448504388,0.118906982,23,1,1,0.047683053,13.29699993,1.50999999,0.188999996,44.69556162,-62.84006925,172.8820583,0.708333359,0.708333359
157,404,1,71.40000153,616,715,-0.65483886,0.616098821,19,1,1,0.111685462,13.38500023,1.898000002,0.175999999,44.70750239,-62.81838651,175.2131166,0.714000015,0.714000015
158,420,1,75,603,512,-2.72534585,0.654763043,19,0,1,0.090353318,12.56299973,1.480999947,0.294999987,44.70186266,-62.83961012,190.443518,0.75,0.75
159,560,1,75,689,543,-1.523925662,0.23874934,13,2,1,0.001061714,15.55799961,3.799000025,0.186000004,44.3848015,-64.27555536,190.443518,0.75,0.75
160,581,1,75,458,554,0,1.491790414,19,4,3,0.06725885,13.66699982,2.407999992,0.143000007,44.36508781,-64.20484745,190.443518,0.75,0.75
161,297,1,77.66666412,440,504,-2.625,2.174350977,16,4,1,0.090529174,13.41499996,1.493999958,0.035,44.82027172,-62.57145208,202.194655,0.776666641,0.776666641
162,611,1,78,645,584,-1.645839691,0.760891557,17,3,1,0.007012642,12.41100025,1.703999996,0.046999998,44.21653277,-64.38408141,203.691647,0.78,0.78
