source,subproject,id,site,subsite,year,month,day,SamplingType_1,SamplingType_2,SamplingType_3,latitude,longitude,seagrass,bathy_m,subObs,subObs_JT,SubObs_Jtcat,percent.cover,percent.cover.cat,percent.cover.notes,,
Monitoring,,69,Port Joli,,2020,11,8,Video transect,,,43.87545,-64.90131,1,1.4,Mud,soft,1,,,MonPJT2End_11_2020,,no t2
Monitoring,,70,Port l'Hebert,,2020,8,8,Video transect,,,43.86797,-64.96313,1,1.3,Mud,soft,1,,,MonPHT2Start_8_2020,,no t2
Monitoring,,71,Port l'Hebert,,2020,8,8,Video transect,,,43.86815,-64.96381,1,1.3,Mud,soft,1,96,5,MonPHT1Start_8_2020,,
Monitoring,,72,Port l'Hebert,,2020,8,8,Video transect,,,43.86797,-64.96313,1,1.3,Mud,soft,1,95,5,MonPHT1End_8_2020,,
Monitoring,,73,Port l'Hebert,,2020,8,8,Video transect,,,43.87549,-64.90128,1,1.3,Mud,soft,1,,,MonPHT2End_8_2020,,no t2
Monitoring,,74,Port l'Hebert,,2020,10,31,Video transect,,,43.86814,-64.9638,1,1.3,Mud,soft,1,100,5,MonPHT1Start_10_2020,,
Monitoring,,75,Port l'Hebert,,2020,10,31,Video transect,,,43.86795,-64.96307,1,1.3,Mud,soft,1,100,5,MonPHT1End_10_2020,,
Monitoring,,76,Port l'Hebert,,2020,5,,Video transect,,,43.86815,-64.9638,1,1.3,Mud,soft,1,18,2,MonPH_5_2020,,
Monitoring,,77,Port l'Hebert,,2020,5,,Video transect,,,43.86797,-64.96308,1,1.3,Mud,soft,1,8,2,MonPH_5_2020,,
Monitoring,,78,Sacrifice Island,,2020,5,23,Video transect,,,44.39662,-64.23598,1,2.7,Sand & Mud,soft,1,88,5,MonSacrT2Start_5_2020,,
Monitoring,,79,Sacrifice Island,,2020,7,10,Video transect,,,44.39702,-64.2365,1,2.7,Sand & Mud,soft,1,97,5,MonSacrT2Start_7_2020,,
Monitoring,,80,Sacrifice Island,,2020,11,1,Video transect,,,44.39663,-64.23591,1,2.7,Sand & Mud,soft,1,100,5,MonSacrT1Start_11_2020,,
Monitoring,,81,Sacrifice Island,,2020,11,1,Video transect,,,44.39695,-64.23637,1,2.7,Sand & Mud,soft,1,100,5,MonSacrT1End_11_2020,,
Monitoring,,82,Sacrifice Island,,2020,11,1,Video transect,,,44.39695,-64.23634,1,2.7,Sand & Mud,soft,1,,,MonSacrT2Start_11_2020,,no t2 in Nov 2020
Monitoring,,83,Sacrifice Island,,2020,11,1,Video transect,,,44.3966,-64.23588,1,2.7,Sand & Mud,soft,1,,,MonSacrT2End_11_2020,,no t2 in Nov 2020
Monitoring,,84,Sacrifice Island,,2020,5,23,Video transect,,,44.39019,-64.27873,1,2.7,Sand & Mud,soft,1,,,MonMasT1Perstart_5_2020,,no t1 perp 
Monitoring,,85,Sacrifice Island,,2020,5,23,Video transect,,,44.39662,-64.23598,1,2.7,Sand & Mud,soft,1,,,MonSacrT1End_5_2020,,no t1 in May 2020
Monitoring,,86,Sacrifice Island,,2020,5,23,Video transect,,,44.39697,-64.2365,1,2.7,Sand & Mud,soft,1,94,5,MonSacrT2End_5_2020,,
Monitoring,,87,Sacrifice Island,,2020,7,10,Video transect,,,44.39666,-64.23598,1,2.7,Sand & Mud,soft,1,97,5,MonSacrT1Start_7_2020,,
Monitoring,,88,Sacrifice Island,,2020,7,10,Video transect,,,44.39702,-64.2365,1,2.7,Sand & Mud,soft,1,88,5,MonSacrT1End_7_2020,,
Monitoring,,89,Sacrifice Island,,2020,7,10,Video transect,,,44.39667,-64.236,1,2.7,Sand & Mud,soft,1,,,MonSacrT2End_7_2020,,no t2 in July 2020
Monitoring,,90,Taylor’s Head,,2020,7,,Video transect,,,44.82054,-62.57191,1,3,Sand,soft,1,,,MonTHTNJOB,,where are these transect data?
Monitoring,,91,Taylor’s Head,,2020,7,,Video transect,,,44.8202,-62.57171,1,3,Sand,soft,1,,,MonTHTSJOB,,where are these transect data?
PH Wharf Dredging,,92,PH Wharf ,,2020,8,28,Video transect,,,43.81793,-64.92886,1,1,Sand,soft,1,100,5,South Close start,,
PH Wharf Dredging,,93,PH Wharf ,,2020,8,28,Video transect,,,43.81759,-64.92857,1,1,Sand,soft,1,100,5,South Close stop,,
PH Wharf Dredging,,94,PH Wharf ,,2020,8,28,Video transect,,,43.82845,-64.93448,1,0.5,Sand,soft,1,100,5,Control start,,
PH Wharf Dredging,,95,PH Wharf ,,2020,8,28,Video transect,,,43.82879,-64.93481,1,0.5,Sand,soft,1,100,5,Control stop,,
PH Wharf Dredging,,96,PH Wharf ,,2020,8,28,Video transect,,,43.82044,-64.92987,1,1,Sand,soft,1,38,3,North Far start,,
PH Wharf Dredging,,97,PH Wharf ,,2020,8,28,Video transect,,,43.82086,-64.93007,1,1,Sand,soft,1,90,5,North Far stop,,
PH Wharf Dredging,,98,PH Wharf ,,2020,8,28,Video transect,,,43.81954,-64.92934,1,1,Sand,soft,1,97,5,North Close Start,,
PH Wharf Dredging,,99,PH Wharf ,,2020,8,28,Video transect,,,43.81978,-64.92954,1,1,Sand,soft,1,100,5,North Close Stop,,
PH Wharf Dredging,,100,PH Wharf ,,2020,8,28,Video transect,,,43.81601,-64.92749,1,1,Sand,soft,1,1,1,South Far start,,
PH Wharf Dredging,,101,PH Wharf ,,2020,8,28,Video transect,,,43.81644,-64.9278,1,1,Sand,soft,1,72,4,South Far stop,,
SG observations,,102,Crescent Beach,,2020,8,7,Surface observation,,,44.23831,-64.40273,0,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,103,Crescent Beach,,2020,8,7,Surface observation,,,44.23582,-64.39356,0,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,104,Crescent Beach,,2020,8,7,Surface observation,,,44.2348,-64.39159,0,,Sand,soft,1,NA,NA,,,
SG observations,,105,Crescent Beach,,2020,8,7,Surface observation,,,44.23485,-64.391,0,,Sand,soft,1,NA,NA,,,
SG observations,,106,Crescent Beach,,2020,8,7,Surface observation,,,44.23835,-64.40454,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,107,Crescent Beach,,2020,8,7,Surface observation,,,44.23805,-64.40676,1,,Sand & Mud,soft,1,NA,NA,,,
